emp_no,first_name,last_name,from_date,to_date,title
10095,Hilari,Morton,3/10/1994,3/10/1995,Senior Staff
10122,Ohad,Esposito,8/6/1998,8/6/1999,Technique Leader
10291,Dipayan,Seghrouchni,3/30/1987,3/29/1988,Senior Staff
10410,Takahito,Gecsei,10/16/1993,10/16/1994,Staff
10476,Kokou,Iisaka,9/20/1987,9/19/1988,Senior Staff
10480,Make,Baba,5/18/1988,5/18/1989,Staff
10663,Teunis,Noriega,1/23/1993,1/23/1994,Technique Leader
10762,Lech,Himler,1/21/1992,1/20/1993,Senior Staff
10933,Juyoung,Seghrouchni,8/2/1993,8/2/1994,Senior Engineer
11015,Jeanna,Riesenhuber,3/14/1998,3/14/1999,Senior Staff
11126,Hideo,Daescu,2/25/1992,2/24/1993,Senior Staff
11157,Mario,Cochrane,3/30/1985,3/30/1986,Engineer
11432,Yongmao,Zwicker,10/19/1987,10/18/1988,Engineer
12155,Keiichiro,Glinert,9/16/1993,9/16/1994,Engineer
12408,Rasiah,Sudkamp,4/18/1995,4/17/1996,Senior Engineer
12643,Morrie,Schurmann,12/31/1998,12/31/1999,Staff
13499,Kazuhiko,Sidou,9/1/1991,8/31/1992,Technique Leader
13957,Angus,Chelton,4/18/1986,2/2/1987,Senior Engineer
14075,Denny,Tchuente,5/30/1991,5/29/1992,Assistant Engineer
14104,Sudhanshu,Demian,7/23/1994,7/23/1995,Senior Staff
14127,Magdalena,Cannard,4/22/1994,4/22/1995,Engineer
14158,Caolyn,Setiz,2/6/1990,2/6/1991,Senior Staff
14476,Sastry,Marrevee,9/25/1999,9/24/2000,Engineer
14551,Richard,Sinitsyn,6/27/1993,9/16/1993,Senior Staff
14907,Nakhoon,Luga,12/18/1986,12/18/1987,Senior Staff
15050,Nikolaos,Kruskal,12/17/1990,12/17/1991,Engineer
15058,Bouchung,Bugrara,6/18/1990,6/18/1991,Senior Staff
15376,Geoff,Soicher,8/14/1988,8/14/1989,Senior Staff
15413,Arvin,Rabejac,1/1/1994,1/1/1995,Engineer
16461,Remmert,Schahn,9/6/1986,9/6/1987,Senior Staff
16528,Gaurav,Swick,5/7/1996,5/7/1997,Assistant Engineer
17013,Morris,Garigliano,5/24/1995,5/23/1996,Senior Staff
17206,Berry,DeMori,12/27/1992,12/27/1993,Engineer
17369,Yaghout,Kenevan,1/28/1993,1/28/1994,Engineer
17447,Zengping,Boreale,12/16/1998,12/16/1999,Staff
17618,Teiji,Picco,9/17/1992,9/17/1993,Staff
17731,Gennady,Roison,12/6/1989,12/6/1990,Assistant Engineer
17799,Gro,Gini,9/28/1997,9/28/1998,Engineer
17970,Filipp,Carrere,1/9/1989,1/9/1990,Technique Leader
17988,Mabhin,Calkin,11/30/1989,11/30/1990,Engineer
18021,Adil,Matzke,5/8/1987,5/7/1988,Engineer
18187,Denis,Falster,12/21/1998,6/3/1999,Staff
18424,Filipp,Rousseau,6/7/1995,6/6/1996,Engineer
18583,Stafford,Honglei,8/16/1998,8/16/1999,Staff
18617,Surveyors,Crouzet,4/24/1989,4/24/1990,Senior Staff
18810,Taiji,Jarecki,6/27/1991,6/26/1992,Engineer
19236,Elzbieta,Morris,7/12/1988,7/12/1989,Engineer
19350,Satoru,Yoshizawa,3/27/1994,3/27/1995,Senior Staff
19803,Ziva,Kowalchuk,6/13/1987,6/12/1988,Engineer
20100,Utz,Heuter,6/15/1986,6/15/1987,Senior Staff
20128,Kazunori,Peak,8/13/1999,8/12/2000,Senior Staff
20129,Rafael,Skafidas,3/28/1991,3/27/1992,Engineer
20248,Vidar,Demri,12/31/1999,12/30/2000,Staff
20313,Candida,Benveniste,1/20/1999,1/20/2000,Engineer
20500,Christoph,Trystram,10/15/1993,10/15/1994,Senior Staff
20712,Valeri,Escriba,4/9/1994,4/9/1995,Engineer
20720,Heejo,Brodie,12/27/1996,5/17/1997,Senior Staff
20885,Otmar,Rothenberg,3/14/1989,3/14/1990,Engineer
21181,Jianhui,Cangellaris,10/6/1991,10/5/1992,Assistant Engineer
21188,Piyush,Danecki,1/8/2000,1/7/2001,Engineer
21534,Alagu,Luders,4/3/1996,4/3/1997,Staff
21546,Yongmin,Lanteri,2/16/1988,2/15/1989,Senior Staff
21843,Karsten,Azadmanesh,11/29/1985,11/29/1986,Senior Engineer
21909,Mohammed,Brizzi,12/28/1991,12/27/1992,Senior Staff
22027,Sangeeta,Georg,7/31/1992,7/31/1993,Staff
22185,Huai,Birch,3/26/1996,3/26/1997,Assistant Engineer
22415,Perla,Jumpertz,8/24/1994,8/24/1995,Senior Staff
22451,Jasminko,Bresenham,12/16/1987,12/15/1988,Senior Staff
22455,Barry,Unno,11/16/1990,11/16/1991,Senior Staff
22502,Rutger,Binkley,10/16/1989,10/16/1990,Senior Engineer
22926,Manibrata,Genther,1/15/1988,1/14/1989,Engineer
23396,Hilari,Fairtlough,12/15/1986,12/15/1987,Technique Leader
24080,Jaana,Perez,3/11/1996,3/11/1997,Technique Leader
24189,Abdelaziz,Atrawala,3/28/1993,3/28/1994,Staff
24205,Roddy,Rubsam,9/19/1993,9/19/1994,Senior Engineer
24377,Lubomir,Wroclawski,7/25/1993,7/25/1994,Engineer
24394,Zhonghui,Conta,9/10/1994,9/10/1995,Staff
24421,Dannz,Grospietsch,9/1/1990,9/1/1991,Senior Engineer
24553,Anwar,Passafiume,1/30/1987,1/30/1988,Senior Staff
24571,Cordelia,Gischer,3/14/1989,3/14/1990,Engineer
25488,Ingmar,Basawa,11/9/1991,11/8/1992,Senior Staff
26476,Bilhanan,Karcich,4/9/1996,2/4/1997,Staff
26503,Shietung,Billingsley,11/7/1998,12/2/1998,Senior Staff
26617,Berto,Bruckman,11/23/1991,11/22/1992,Engineer
26629,Nevin,Rodham,12/14/1998,12/14/1999,Senior Staff
26671,Jiakeng,Kalorkoti,12/25/1994,12/25/1995,Engineer
